run_id,variant,sample,block_size,gui_win_x,gui_win_y,quality,max_corners,actual_lk_window,total_detected_features,reference_total_features,frames_represented,reference_frames,per_feature_error,frame_mean_error,frame_max_error,profile_error,feature_count_error,runtime_s,failures_or_warnings,missing_frames,extra_frames,feature_velocity_mean,feature_velocity_sd,feature_velocity_quantiles,reference_velocity_quantiles,frame_mean_mae,frame_mean_rmse,frame_mean_max_abs,frame_mean_pearson,frame_mean_spearman,frame_mean_signed,frame_max_mae,frame_max_rmse,frame_max_max_abs,frame_max_pearson,frame_max_spearman,frame_max_signed,count_mae,count_rmse,count_pearson,count_spearman,profile_mae,profile_rmse,profile_max_abs,profile_pearson,profile_spearman,profile_signed,reference_wall_max_ratio,reference_normalized_range,reference_profile_cv,reference_normalized_quadratic_coefficient,reference_quadratic_r2,reproduced_wall_max_ratio,reproduced_normalized_range,reproduced_profile_cv,reproduced_normalized_quadratic_coefficient,reproduced_quadratic_r2,parameter_basis,reproduction_class
A06_control,A_legacy,control,7,100,40,0.01,250,"(20, 50)",399250,399250,1597,1597,282.06808351810577,293.8780656426133,313.95181616693344,294.5678678171597,0.0,7.899833200033754,,0,0,213.51463494972415,29.482862155155928,"[42.096893310546875, 144.29376388549804, 165.22395095825195, 193.8537254333496, 213.40802764892578, 233.21070861816406, 261.9566711425781, 282.55621826171875, 423.4351806640625]","[217.4195289611816, 388.17496185302736, 431.2911796569825, 485.00722885131836, 511.695556640625, 535.4888916015625, 564.7437934875488, 585.1507011413574, 750.0732421875]",293.71992610269973,293.8780656426133,325.0698335113525,-0.027711004339456852,-0.03854801703019132,-293.71992610269973,312.65394433797263,313.95181616693344,426.5858459472656,0.12541335358075856,0.10738851284307448,-312.65394433797263,0.0,0.0,nan,nan,293.41819421157254,294.5678678171597,322.79587685273884,-0.9037771701963687,-0.9491228070175438,-293.41819421157254,0.8803425696423048,0.124537539154843,0.043622116899583493,-0.00010488518991106253,0.9811315147590755,0.9999279698481552,0.06983694855805382,0.02337076020282614,5.276672618032056e-05,0.8458521053543111,block/window cross-grid,failed reproduction
A06_sepsis,A_legacy,sepsis,7,100,40,0.01,250,"(20, 50)",399897,371093,1604,1604,384.6587238851329,403.65998737541827,442.381201747635,403.4385760525791,17.997506234413965,7.803406800143421,,0,0,158.1459430799051,36.90615002295196,"[4.474606513977051, 74.14422149658203, 98.95045471191406, 133.13571166992188, 157.33737182617188, 182.50613403320312, 220.04082031249987, 246.784052734375, 357.1612854003906]","[0.5879974365234375, 377.56976318359375, 447.10912513732904, 525.3118896484375, 570.1201248168945, 605.7358932495117, 649.5324096679686, 680.7369689941407, 849.3716430664062]",403.5808573828634,403.65998737541827,426.45100026271655,0.8084714475468734,0.7936218187863285,-403.5808573828634,441.18257779076214,442.381201747635,581.7551879882812,0.18637804193509094,0.1781225075256303,-441.18257779076214,17.997506234413965,19.25122660210994,0.16924445514938413,0.18925651320112602,403.3518138743934,403.4385760525791,415.2999081084339,-0.7661949854279613,-0.6771929824561403,-403.3518138743934,0.972542209336669,0.03372165704319911,0.008702851252684312,-2.3879635584156597e-05,0.8346253297808691,0.9817075318162283,0.09155902750445354,0.0268985384943684,6.156310498737882e-05,0.8276627492097485,block/window cross-grid,failed reproduction
A07_control,A_legacy,control,5,50,20,0.1,250,"(10, 25)",399250,399250,1597,1597,36.71515395899075,7.252993458339404,22.657481579996023,9.036624786493691,0.0,6.771758000133559,,0,0,500.48391967849875,46.09525992951251,"[113.47953796386719, 368.20752685546876, 414.370378112793, 475.11558532714844, 506.2585144042969, 532.8814392089844, 564.4393035888672, 584.4380627441407, 727.5192260742188]","[217.4195289611816, 388.17496185302736, 431.2911796569825, 485.00722885131836, 511.695556640625, 535.4888916015625, 564.7437934875488, 585.1507011413574, 750.0732421875]",6.755266250297438,7.252993458339404,17.436618865966864,0.9154748577231977,0.9103266427832534,-6.750641373925159,14.684461113506357,22.657481579996023,137.25115966796875,0.5727709860380841,0.5669102912024684,-5.025747416238898,0.0,0.0,nan,nan,6.8579287107516205,9.036624786493691,20.901160708600287,0.9797332707951827,0.9701754385964911,-5.577326715613885,0.8803425696423048,0.124537539154843,0.043622116899583493,-0.00010488518991106253,0.9811315147590755,0.8481433348931261,0.15338092890736513,0.05479772580016474,-0.00013001391701341638,0.9591209446301115,help-documented quality level,partial numerical reproduction
A07_sepsis,A_legacy,sepsis,5,50,20,0.1,250,"(10, 25)",400912,371093,1604,1604,29.876446344910388,12.844090602107478,26.146323264428823,12.644373299474651,18.601620947630924,7.636412400053814,,0,0,549.5719944321206,68.72584973178081,"[53.79766845703125, 350.44149688720705, 425.370133972168, 509.7832946777344, 558.6888122558594, 597.7960968017578, 644.9901947021484, 677.5009741210938, 908.7658081054688]","[0.5879974365234375, 377.56976318359375, 447.10912513732904, 525.3118896484375, 570.1201248168945, 605.7358932495117, 649.5324096679686, 680.7369689941407, 849.3716430664062]",12.17179464564404,12.844090602107478,24.9159302154153,0.9546777223691969,0.9540375889643723,-12.167297290626998,17.860354859930023,26.146323264428823,190.178466796875,0.5629615510128303,0.5972661263576624,-4.509571300183151,18.601620947630924,19.835152930355076,0.03818738356732381,0.04175264136384738,12.222949826014375,12.644373299474651,19.633888893040535,0.9260799944615683,0.9070175438596491,-12.222949826014375,0.972542209336669,0.03372165704319911,0.008702851252684312,-2.3879635584156597e-05,0.8346253297808691,0.9632096183270954,0.049121204446260835,0.013276948552693364,-3.518237223975325e-05,0.8119390210243156,help-documented quality level,partial numerical reproduction
A08_control,A_legacy,control,5,50,20,0.01,500,"(10, 25)",792036,399250,1597,1597,35.13790710986235,3.071477556542665,30.82207517863316,5.586230487436056,245.95241077019412,13.087882500141859,,0,0,504.8079908465458,43.76722231004491,"[113.47953796386719, 378.08311767578124, 423.8702850341797, 481.3986129760742, 509.1666259765625, 534.8047485351562, 566.2644805908203, 588.8492645263672, 760.8314208984375]","[217.4195289611816, 388.17496185302736, 431.2911796569825, 485.00722885131836, 511.695556640625, 535.4888916015625, 564.7437934875488, 585.1507011413574, 750.0732421875]",2.600381063637235,3.071477556542665,9.631468132019108,0.950677720257386,0.947811578957129,-2.4247541115404614,21.341542970708705,30.82207517863316,144.88809204101562,0.6481355378595735,0.6533093086920168,18.306884630665454,245.95241077019412,246.05887877125377,nan,nan,4.826003667972211,5.586230487436056,8.945246746513021,0.9860228648765573,0.9719298245614034,-3.4340236847433516,0.8803425696423048,0.124537539154843,0.043622116899583493,-0.00010488518991106253,0.9811315147590755,0.8690199245712626,0.1363905597084852,0.04852786939603013,-0.00011580526934490321,0.9667938428902055,current GUI corner default negative control,partial numerical reproduction
A08_sepsis,A_legacy,sepsis,5,50,20,0.01,500,"(10, 25)",604848,371093,1604,1604,28.90665680158589,12.813194677215538,23.275443920169018,13.153379280644598,145.73254364089775,9.632699300069362,,0,0,549.1312835686006,68.86352218369578,"[34.81595230102539, 349.0801208496094, 424.4281707763672, 509.50182342529297, 558.2535400390625, 597.2025604248047, 644.7020385742187, 678.3812750244142, 916.6787109375]","[0.5879974365234375, 377.56976318359375, 447.10912513732904, 525.3118896484375, 570.1201248168945, 605.7358932495117, 649.5324096679686, 680.7369689941407, 849.3716430664062]",12.500536364789596,12.813194677215538,22.198051224212918,0.9779051882396925,0.9777593056554978,-12.500536364789596,16.314814811335538,23.275443920169018,190.178466796875,0.7267197270075901,0.7075085553367236,6.027125935304789,145.73254364089775,146.1283575586649,0.6003804005659293,0.5746249033211559,12.803244123860347,13.153379280644598,17.86037527802341,0.9126712180799925,0.8526315789473684,-12.803244123860347,0.972542209336669,0.03372165704319911,0.008702851252684312,-2.3879635584156597e-05,0.8346253297808691,0.9642564029460742,0.04501094513621431,0.012441412389817112,-3.2832302337922e-05,0.7745566184587862,current GUI corner default negative control,partial numerical reproduction
FIXED_A_legacy_control,A_legacy,control,5,50,20,0.01,500,"(10, 25)",792036,399250,1597,1597,35.13790710986235,3.071477556542665,30.82207517863316,5.586230487436056,245.95241077019412,13.087882500141859,,0,0,504.8079908465458,43.76722231004491,"[113.47953796386719, 378.08311767578124, 423.8702850341797, 481.3986129760742, 509.1666259765625, 534.8047485351562, 566.2644805908203, 588.8492645263672, 760.8314208984375]","[217.4195289611816, 388.17496185302736, 431.2911796569825, 485.00722885131836, 511.695556640625, 535.4888916015625, 564.7437934875488, 585.1507011413574, 750.0732421875]",2.600381063637235,3.071477556542665,9.631468132019108,0.950677720257386,0.947811578957129,-2.4247541115404614,21.341542970708705,30.82207517863316,144.88809204101562,0.6481355378595735,0.6533093086920168,18.306884630665454,245.95241077019412,246.05887877125377,nan,nan,4.826003667972211,5.586230487436056,8.945246746513021,0.9860228648765573,0.9719298245614034,-3.4340236847433516,0.8803425696423048,0.124537539154843,0.043622116899583493,-0.00010488518991106253,0.9811315147590755,0.8690199245712626,0.1363905597084852,0.04852786939603013,-0.00011580526934490321,0.9667938428902055,joint winner A08,partial numerical reproduction
FIXED_A_legacy_sepsis,A_legacy,sepsis,5,50,20,0.01,500,"(10, 25)",604848,371093,1604,1604,28.90665680158589,12.813194677215538,23.275443920169018,13.153379280644598,145.73254364089775,9.632699300069362,,0,0,549.1312835686006,68.86352218369578,"[34.81595230102539, 349.0801208496094, 424.4281707763672, 509.50182342529297, 558.2535400390625, 597.2025604248047, 644.7020385742187, 678.3812750244142, 916.6787109375]","[0.5879974365234375, 377.56976318359375, 447.10912513732904, 525.3118896484375, 570.1201248168945, 605.7358932495117, 649.5324096679686, 680.7369689941407, 849.3716430664062]",12.500536364789596,12.813194677215538,22.198051224212918,0.9779051882396925,0.9777593056554978,-12.500536364789596,16.314814811335538,23.275443920169018,190.178466796875,0.7267197270075901,0.7075085553367236,6.027125935304789,145.73254364089775,146.1283575586649,0.6003804005659293,0.5746249033211559,12.803244123860347,13.153379280644598,17.86037527802341,0.9126712180799925,0.8526315789473684,-12.803244123860347,0.972542209336669,0.03372165704319911,0.008702851252684312,-2.3879635584156597e-05,0.8346253297808691,0.9642564029460742,0.04501094513621431,0.012441412389817112,-3.2832302337922e-05,0.7745566184587862,joint winner A08,partial numerical reproduction
FIXED_B_conventional_frames_control,B_conventional_frames,control,5,50,20,0.01,500,"(10, 25)",792031,399250,1597,1597,60.30212960109653,3.5248710400039482,37.55344054333019,5.622387508186807,245.94927989981215,13.561012499965727,,0,0,504.4701367152383,43.59014997483419,"[119.36445617675781, 378.54120178222655, 424.0798797607422, 481.07981872558594, 508.7434997558594, 534.334716796875, 565.7444152832031, 588.4749206542969, 901.499755859375]","[217.4195289611816, 388.17496185302736, 431.2911796569825, 485.00722885131836, 511.695556640625, 535.4888916015625, 564.7437934875488, 585.1507011413574, 750.0732421875]",3.00004896716992,3.5248710400039482,10.37588627327898,0.932612563186376,0.9302250495349859,-2.7613176676575906,25.432821777811927,37.55344054333019,320.3638916015625,0.43547073613486936,0.4949284591486332,18.76527566139446,245.94927989981215,246.05572954379153,nan,nan,4.8774680734432865,5.622387508186807,9.130159177675978,0.9866116037775766,0.9824561403508772,-3.7491006199050174,0.8803425696423048,0.124537539154843,0.043622116899583493,-0.00010488518991106253,0.9811315147590755,0.8706147821932112,0.13499517104460262,0.04802816366133071,-0.00011466829988797981,0.9675367405575641,joint winner A08,partial numerical reproduction
FIXED_B_conventional_frames_sepsis,B_conventional_frames,sepsis,5,50,20,0.01,500,"(10, 25)",604848,371093,1604,1604,80.85651558288755,13.232292300931704,30.09287024279232,13.293884183846332,145.73254364089775,9.744989499915391,,0,0,548.9961250126654,68.38479465922232,"[25.31527328491211, 350.97751678466796, 425.1378540039062, 509.6420211791992, 557.9847717285156, 596.7191314697266, 643.983285522461, 677.9039215087892, 1087.123046875]","[0.5879974365234375, 377.56976318359375, 447.10912513732904, 525.3118896484375, 570.1201248168945, 605.7358932495117, 649.5324096679686, 680.7369689941407, 849.3716430664062]",12.650712302299823,13.232292300931704,25.257218324689802,0.9569281966389819,0.9549545048183465,-12.648677573674643,20.746987260785186,30.09287024279232,384.7678527832031,0.5277062908439165,0.5486070313462178,5.71329914364137,145.73254364089775,146.28841333240211,0.3450520287047287,0.3251222481331598,12.927332567109483,13.293884183846332,17.646200978658044,0.9019881694636803,0.8350877192982457,-12.927332567109483,0.972542209336669,0.03372165704319911,0.008702851252684312,-2.3879635584156597e-05,0.8346253297808691,0.9653735880678391,0.04436283044658939,0.012383217952753734,-3.2346521125081915e-05,0.7624977821592931,joint winner A08,partial numerical reproduction
FIXED_C_direct_windows_control,C_direct_windows,control,5,50,20,0.01,500,"(50, 20)",792031,399250,1597,1597,13.967158756306262,5.744156852943789,27.564732430790574,11.242916937472861,245.94927989981215,19.26082540000789,,0,0,511.3599280122023,42.82359231762598,"[256.11663818359375, 393.71790466308596, 429.3155822753906, 487.5055236816406, 517.3131103515625, 541.6798095703125, 570.4861145019531, 591.7331909179686, 741.6345825195312]","[217.4195289611816, 388.17496185302736, 431.2911796569825, 485.00722885131836, 511.695556640625, 535.4888916015625, 564.7437934875488, 585.1507011413574, 750.0732421875]",4.53113924389607,5.744156852943789,21.087710502624475,0.8199189208312286,0.8220266007739153,4.121513513880878,19.931751961848402,27.564732430790574,145.135009765625,0.3572959896384244,0.39323364177166825,-6.147884076285078,245.94927989981215,246.05572954379153,nan,nan,10.283400113611265,11.242916937472861,18.516091367366926,0.9660400764354146,0.9350877192982456,2.6768249165605824,0.8803425696423048,0.124537539154843,0.043622116899583493,-0.00010488518991106253,0.9811315147590755,0.8402309083576233,0.16660497376989897,0.06086197879289428,-0.0001422529868124084,0.947067977498896,joint winner A08,partial numerical reproduction
FIXED_C_direct_windows_sepsis,C_direct_windows,sepsis,5,50,20,0.01,500,"(50, 20)",604848,371093,1604,1604,100.5472663547703,7.6841102207807905,56.56404914127243,7.178937015537621,145.73254364089775,14.477698599919677,,0,0,567.8643545917622,40.22059076260208,"[260.10595703125, 461.0977206420898, 496.6880706787109, 541.9009857177734, 572.1275329589844, 597.2433013916016, 625.8643463134766, 645.5490148925782, 739.583251953125]","[0.5879974365234375, 377.56976318359375, 447.10912513732904, 525.3118896484375, 570.1201248168945, 605.7358932495117, 649.5324096679686, 680.7369689941407, 849.3716430664062]",6.468014309616997,7.6841102207807905,23.031257759328128,0.93949129846566,0.9360690367760091,6.216394460680681,48.92058625185579,56.56404914127243,199.06182861328125,0.30453533820620204,0.33812589076733873,-48.74592937198363,145.73254364089775,146.28841333240211,0.3450520287047287,0.3251222481331598,6.206802625877805,7.178937015537621,13.22214920906913,0.6086366053770118,0.24035087719298245,6.074435828522508,0.972542209336669,0.03372165704319911,0.008702851252684312,-2.3879635584156597e-05,0.8346253297808691,0.9827073970715972,0.02563934492955767,0.006371858987883526,-9.27397421414014e-06,0.3737921365896004,joint winner A08,trend-only reproduction
